更新时间,#genre#
2026-03-04 14:37:02,url


央视频道,#genre#
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.1.17:5146
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.0.119:5146
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.0.129:5146
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.0.86:5146
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.1.144:5146
CCTV1 综合[1920x1080],http://113.104.186.190:7088/udp/239.77.1.17:5146
CCTV1 综合[1920x1080],http://113.111.109.217:4022/udp/239.77.0.119:5146
CCTV1 综合[1920x1080],http://113.111.109.217:4022/udp/239.77.0.129:5146
CCTV1 综合[1920x1080],http://113.111.109.217:4022/udp/239.77.0.86:5146
CCTV1 综合[1920x1080],http://113.111.109.217:4022/udp/239.77.1.144:5146
CCTV2 财经[1920x1080],http://113.104.186.190:7088/udp/239.253.43.17:5146
CCTV2 财经[1920x1080],http://113.111.109.217:4022/udp/239.77.1.158:5146
CCTV2 财经[1920x1080],http://113.104.186.190:7088/udp/239.253.43.17:5146
CCTV2 财经[1920x1080],http://113.104.186.190:7088/udp/239.77.0.137:5146
CCTV2 财经[1920x1080],http://113.104.186.190:7088/udp/239.77.1.158:5146
CCTV2 财经[1920x1080],http://113.111.109.217:4022/udp/239.253.43.17:5146
CCTV2 财经[1920x1080],http://113.111.109.217:4022/udp/239.77.0.137:5146
CCTV2 财经[1920x1080],http://113.111.109.217:4022/udp/239.77.1.158:5146
CCTV3 综艺[1920x1080],http://113.104.186.190:7088/udp/239.77.0.169:5146
CCTV3 综艺[1920x1080],http://113.104.186.190:7088/udp/239.77.0.175:5146
CCTV3 综艺[1920x1080],http://113.111.109.217:4022/udp/239.77.0.169:5146
CCTV3 综艺[1920x1080],http://113.111.109.217:4022/udp/239.77.0.175:5146
CCTV4 中文国际[1920x1080],http://113.111.109.217:4022/udp/239.77.1.166:5146
CCTV4 中文国际[1920x1080],http://113.104.186.190:7088/udp/239.77.0.78:5146
CCTV4 中文国际[1920x1080],http://113.104.186.190:7088/udp/239.77.1.163:5146
CCTV4 中文国际[1920x1080],http://113.104.186.190:7088/udp/239.77.1.166:5146
CCTV4 中文国际[1920x1080],http://113.111.109.217:4022/udp/239.77.0.78:5146
CCTV4 中文国际[1920x1080],http://113.111.109.217:4022/udp/239.77.1.163:5146
CCTV4 中文国际[1920x1080],http://113.111.109.217:4022/udp/239.77.1.166:5146
CCTV4 中文国际欧洲[1920x1080],http://113.104.186.190:7088/udp/239.253.43.120:5146
CCTV4 中文国际欧洲[1920x1080],http://113.111.109.217:4022/udp/239.253.43.120:5146
CCTV4k 超高清50P[3840x2160],http://113.104.186.190:7088/udp/239.77.0.174:5146
CCTV4k 超高清50P[3840x2160],http://113.111.109.217:4022/udp/239.77.0.174:5146
CCTV4k 超高清[3840x2160],http://113.111.109.217:4022/udp/239.77.0.194:5146
CCTV4k 超高清[3840x2160],http://113.104.186.190:7088/udp/239.77.0.194:5146
CCTV4k 超高清[3840x2160],http://113.104.186.190:7088/udp/239.77.1.180:5146
CCTV4k 超高清[3840x2160],http://113.111.109.217:4022/udp/239.77.0.194:5146
CCTV4k 超高清[3840x2160],http://113.111.109.217:4022/udp/239.77.1.180:5146
CCTV5 中文国际美洲[1920x1080],http://113.104.186.190:7088/udp/239.253.43.121:5146
CCTV5 中文国际美洲[1920x1080],http://113.111.109.217:4022/udp/239.253.43.121:5146
CCTV5 体育[1920x1080],http://113.111.109.217:4022/udp/239.77.0.177:5146
CCTV5 体育[1920x1080],http://113.104.186.190:7088/udp/239.77.0.170:5146
CCTV5 体育[1920x1080],http://113.104.186.190:7088/udp/239.77.0.177:5146
CCTV5 体育[1920x1080],http://113.111.109.217:4022/udp/239.77.0.170:5146
CCTV5 体育[1920x1080],http://113.111.109.217:4022/udp/239.77.0.177:5146
CCTV5+ 体育赛事[1920x1080],http://113.104.186.190:7088/udp/239.77.0.87:5146
CCTV5+ 体育赛事[1920x1080],http://113.104.186.190:7088/udp/239.77.1.31:5146
CCTV5+ 体育赛事[1920x1080],http://113.111.109.217:4022/udp/239.77.0.87:5146
CCTV5+ 体育赛事[1920x1080],http://113.111.109.217:4022/udp/239.77.1.31:5146
CCTV6 电影[1920x1080],http://113.104.186.190:7088/udp/239.77.0.171:5146
CCTV6 电影[1920x1080],http://113.104.186.190:7088/udp/239.77.0.178:5146
CCTV6 电影[1920x1080],http://113.111.109.217:4022/udp/239.77.0.171:5146
CCTV6 电影[1920x1080],http://113.111.109.217:4022/udp/239.77.0.178:5146
CCTV7 国防军事[1920x1080],http://113.111.109.217:4022/udp/239.77.1.167:5146
CCTV7 国防军事[1920x1080],http://113.104.186.190:7088/udp/239.77.0.138:5146
CCTV7 国防军事[1920x1080],http://113.104.186.190:7088/udp/239.77.1.159:5146
CCTV7 国防军事[1920x1080],http://113.104.186.190:7088/udp/239.77.1.167:5146
CCTV7 国防军事[1920x1080],http://113.111.109.217:4022/udp/239.77.0.138:5146
CCTV7 国防军事[1920x1080],http://113.111.109.217:4022/udp/239.77.1.159:5146
CCTV7 国防军事[1920x1080],http://113.111.109.217:4022/udp/239.77.1.167:5146
CCTV8 电视剧[1920x1080],http://113.111.109.217:4022/udp/239.77.0.172:5146
CCTV8 电视剧[1920x1080],http://113.104.186.190:7088/udp/239.77.0.172:5146
CCTV8 电视剧[1920x1080],http://113.104.186.190:7088/udp/239.77.0.181:5146
CCTV8 电视剧[1920x1080],http://113.111.109.217:4022/udp/239.77.0.172:5146
CCTV8 电视剧[1920x1080],http://113.111.109.217:4022/udp/239.77.0.181:5146
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.1.168:5146
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.0.135:5146
CCTV9 纪录[1920x1080],http://113.104.186.190:7088/udp/239.77.0.135:5146
CCTV9 纪录[1920x1080],http://113.104.186.190:7088/udp/239.77.1.160:5146
CCTV9 纪录[1920x1080],http://113.104.186.190:7088/udp/239.77.1.168:5146
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.0.135:5146
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.1.160:5146
CCTV9 纪录[1920x1080],http://113.111.109.217:4022/udp/239.77.1.168:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.0.134:5146
CCTV10 科教[1920x1080],http://113.111.109.217:4022/udp/239.77.1.169:5146
CCTV10 科教[1920x1080],http://113.104.186.190:7088/udp/239.77.0.134:5146
